audio_review_id,event_id,session_id,site_id,participant_id,review_start_sec,review_end_sec,recorder_status,spirit_box_status,audio_result,audible_content,speech_intelligibility,radio_bleed_possible,environmental_source_possible,reviewer_confidence,explanation_status,review_notes
AR_0001,EVT_0001,SITE_01_P01_A,SITE_01,P01,780,900,recording,off,short_transient,low mechanical hum and transient,none,false,true,0.96,probable,Independent audio is consistent with the environmental explanation documented for the event.
AR_0002,EVT_0002,SITE_01_P01_A,SITE_01,P01,930,1050,recording,off,nothing_detected,no audible content in review window,none,false,true,0.84,probable,Isolated transient without multi-sensor correspondence.
AR_0003,EVT_0003,SITE_01_P01_A,SITE_01,P01,1190,1310,recording,on,nothing_detected,no audible content in review window,none,false,false,0.94,no_correspondence,Control review: no audio correspondence with the sensor event.
AR_0004,EVT_0005,SITE_01_P02_A,SITE_01,P02,610,740,recording,off,nothing_detected,no audible content in review window,none,false,false,0.87,no_correspondence,Control review: no audio correspondence with the sensor event.
AR_0005,EVT_0006,SITE_01_P04_A,SITE_01,P04,1150,1260,recording,on,nothing_detected,no audible content in review window,none,false,false,0.87,no_correspondence,Control review: no audio correspondence with the sensor event.
AR_0006,EVT_0007,SITE_01_P04_A,SITE_01,P04,1310,1450,recording,on,short_transient,mechanical cycling sound,none,false,true,0.84,probable,Independent audio is consistent with the environmental explanation documented for the event.
AR_0007,EVT_0009,SITE_01_P06_A,SITE_01,P06,1360,1480,recording,on,nothing_detected,no audible content in review window,none,false,false,0.9,no_correspondence,Control review: no audio correspondence with the sensor event.
AR_0008,EVT_0011,SITE_01_P07_B,SITE_01,P07,840,950,recording,off,mechanical_noise,brief sound consistent with documented site activity,none,false,true,0.86,probable,Independent audio is consistent with the environmental explanation documented for the event.
AR_0009,EVT_0012,SITE_01_P08_A,SITE_01,P08,380,490,recording,off,mechanical_noise,mechanical cycling sound,none,false,true,0.86,probable,Independent audio is consistent with the environmental explanation documented for the event.
AR_0010,EVT_0013,SITE_01_P08_A,SITE_01,P08,840,970,recording,off,nothing_detected,no audible content in review window,none,false,false,0.96,no_correspondence,Control review: no audio correspondence with the sensor event.
AR_0011,EVT_0014,SITE_01_P09_A,SITE_01,P09,870,1010,recording,on,mechanical_noise,mechanical cycling sound,none,false,true,0.81,probable,Independent audio is consistent with the environmental explanation documented for the event.
AR_0012,EVT_0016,SITE_02_P01_A,SITE_02,P01,1140,1280,recording,off,environmental_noise,mechanical cycling sound,none,false,true,0.81,probable,Independent audio is consistent with the environmental explanation documented for the event.
AR_0013,EVT_0017,SITE_02_P02_A,SITE_02,P02,530,650,recording,off,nothing_detected,no audible content in review window,none,false,false,0.94,no_correspondence,Control review: no audio correspondence with the sensor event.
AR_0014,EVT_0018,SITE_02_P04_A,SITE_02,P04,420,530,recording,off,short_transient,low mechanical hum and transient,none,false,true,0.96,probable,Independent audio is consistent with the environmental explanation documented for the event.
AR_0015,EVT_0019,SITE_02_P04_A,SITE_02,P04,600,720,recording,off,short_transient,brief isolated sound; source not identified,none,false,unknown,0.68,uncertain,Short transient precedes the physiological change in the raw recording; source not identified.
AR_0016,EVT_0020,SITE_02_P04_A,SITE_02,P04,750,880,recording,on,mechanical_noise,environmental noise matching field notes,none,false,true,0.89,probable,Independent audio is consistent with the environmental explanation documented for the event.
AR_0017,EVT_0022,SITE_02_P06_A,SITE_02,P06,790,910,recording,off,nothing_detected,short transient matching the field log,none,false,true,0.85,probable,Isolated transient without multi-sensor correspondence.
AR_0018,EVT_0023,SITE_02_P08_A,SITE_02,P08,500,610,recording,on,nothing_detected,no audible content in review window,none,false,false,0.98,no_correspondence,Control review: no audio correspondence with the sensor event.
AR_0019,EVT_0024,SITE_02_P08_A,SITE_02,P08,620,760,recording,off,nothing_detected,no audible content in review window,none,false,false,0.92,no_correspondence,Control review: no audio correspondence with the sensor event.
AR_0020,EVT_0025,SITE_02_P08_A,SITE_02,P08,1010,1130,recording,off,nothing_detected,short transient matching the field log,none,false,unknown,0.61,uncertain,Isolated transient without multi-sensor correspondence.
AR_0021,EVT_0027,SITE_02_P09_A,SITE_02,P09,770,900,recording,off,nothing_detected,no audible content in review window,none,false,false,0.89,no_correspondence,Control review: no audio correspondence with the sensor event.
AR_0022,EVT_0028,SITE_02_P09_A,SITE_02,P09,1190,1330,recording,off,short_transient,brief low-level sound,none,false,false,0.54,uncertain,Weak or ambiguous audio correspondence; reviewer confidence limited.
AR_0023,EVT_0030,SITE_03_P02_A,SITE_03,P02,1210,1330,recording,on,nothing_detected,no audible content in review window,none,false,false,0.97,no_correspondence,Control review: no audio correspondence with the sensor event.
AR_0024,EVT_0032,SITE_03_P04_A,SITE_03,P04,340,470,recording,off,nothing_detected,no audible content in review window,none,false,false,0.97,no_correspondence,Control review: no audio correspondence with the sensor event.
AR_0025,EVT_0034,SITE_03_P04_A,SITE_03,P04,790,930,recording,on,voice_like,single transient with possible vocal quality,low,unknown,unknown,0.64,uncertain,Voice-like fragment coincides with Spirit Box sweep; radio bleed cannot be excluded.
AR_0026,EVT_0035,SITE_03_P04_A,SITE_03,P04,1350,1470,recording,on,short_transient,brief isolated sound; source not identified,none,unknown,false,0.78,unresolved,Independent recorder captured a sound with no documented environmental source.
AR_0027,EVT_0036,SITE_03_P07_A,SITE_03,P07,740,850,recording,off,ambiguous_noise,brief low-level sound,none,false,false,0.5,uncertain,Weak or ambiguous audio correspondence; reviewer confidence limited.
