session_id,window_id,window_start_sec,window_end_sec,phase,investigation_zone,heart_rate_bpm,rr_mean_ms,rmssd_ms,sdnn_ms,muse_delta_rel,muse_theta_rel,muse_alpha_rel,muse_beta_rel,muse_gamma_rel,muse_accel_mean_g,muse_accel_peak_g,bodycam_motion_score,bodycam_light_change_score,audio_rms_dbfs,audio_peak_dbfs,audio_transient_count,temperature_c,humidity_pct,environmental_noise_db,polar_signal_quality,muse_signal_quality,bodycam_signal_quality,artifact_flag
SITE_01_P01_A,SITE_01_P01_A_W001,0,10,before,baseline_station,64.1,936.4,50.3,65.0,0.27629,0.22329,0.21937,0.22868,0.05238,0.0669,0.1806,0.159,0.1205,-51.6,-40.6,0,18.1,51.2,40.5,0.9498,0.9173,0.9783,False
SITE_01_P01_A,SITE_01_P01_A_W002,10,20,before,baseline_station,71.0,844.5,44.5,59.5,0.28727,0.19968,0.26601,0.2047,0.04235,0.0954,0.2799,0.3018,0.0517,-43.6,-31.4,0,17.8,51.9,40.1,0.9441,0.861,0.9532,False
SITE_01_P01_A,SITE_01_P01_A_W003,20,30,before,baseline_station,61.5,975.4,51.9,63.0,0.27241,0.20931,0.23675,0.23546,0.04607,0.0177,0.0773,0.0364,0.0045,-49.4,-39.5,0,18.0,50.8,34.0,0.9552,0.957,0.987,False
SITE_01_P01_A,SITE_01_P01_A_W004,30,40,before,baseline_station,60.7,988.7,47.6,60.5,0.28111,0.18671,0.23783,0.24218,0.05217,0.0531,0.1811,0.0888,0.1172,-47.1,-34.6,0,18.0,50.9,37.4,0.9778,0.9347,0.9934,False
SITE_01_P01_A,SITE_01_P01_A_W005,40,50,before,baseline_station,64.7,926.7,55.5,72.7,0.27788,0.1819,0.2517,0.23584,0.05269,0.0306,0.0997,0.0452,0.0186,-49.2,-38.0,0,18.0,50.4,37.3,0.9617,0.9197,0.9873,False
SITE_01_P01_A,SITE_01_P01_A_W006,50,60,before,baseline_station,63.8,940.2,41.5,51.7,0.28467,0.19354,0.24193,0.22832,0.05153,0.0324,0.1084,0.0811,0.0304,-47.8,-38.4,0,18.0,51.2,37.1,0.9729,0.9302,0.985,False
SITE_01_P01_A,SITE_01_P01_A_W007,60,70,before,baseline_station,62.5,960.8,42.8,60.4,0.29538,0.20308,0.22346,0.22304,0.05504,0.0447,0.171,0.0442,0.0745,-48.4,-33.2,1,18.3,51.0,41.2,0.9306,0.929,0.9772,False
SITE_01_P01_A,SITE_01_P01_A_W008,70,80,before,baseline_station,64.8,926.0,54.6,70.0,0.27922,0.20483,0.24834,0.22524,0.04237,0.0256,0.1032,0.0504,0.1041,-46.8,-35.7,0,18.4,51.3,40.9,0.9583,1.0,0.9827,False
SITE_01_P01_A,SITE_01_P01_A_W009,80,90,before,baseline_station,64.2,934.6,47.3,65.1,0.27711,0.20611,0.23035,0.22973,0.05671,0.042,0.1781,0.0563,0.021,-49.8,-38.5,0,18.0,50.5,41.9,0.9894,0.9356,1.0,False
SITE_01_P01_A,SITE_01_P01_A_W010,90,100,before,baseline_station,67.5,889.3,48.7,55.6,0.2834,0.20628,0.24881,0.21696,0.04455,0.026,0.0735,0.0575,0.0819,-46.0,-35.8,0,17.9,50.1,40.6,0.9509,0.9496,0.9743,False
SITE_01_P01_A,SITE_01_P01_A_W011,100,110,before,baseline_station,60.6,990.6,46.7,57.2,0.26683,0.2038,0.24938,0.23519,0.0448,0.0343,0.0963,0.0854,0.1464,-46.8,-35.6,0,18.1,50.2,42.2,0.9612,0.9078,0.9609,False
SITE_01_P01_A,SITE_01_P01_A_W012,110,120,before,baseline_station,61.2,980.5,53.8,73.6,0.28313,0.19792,0.25865,0.22021,0.0401,0.0313,0.1021,0.0498,0.0371,-43.6,-29.9,0,18.1,50.7,42.7,0.9629,0.8966,0.9727,False
