event_id,session_id,site_id,participant_id,event_start_sec,event_end_sec,phase,investigation_zone,event_type,source_modalities,detection_method,observation_text,explanation_status,known_explanation,environmental_match,manual_marker,signal_quality_summary,hr_delta_bpm_vs_pre_event,rmssd_delta_pct_vs_pre_event,beta_delta_pct_vs_pre_event,audio_peak_dbfs,audio_transient_count,bodycam_motion_score,environmental_noise_db,review_note
EVT_0001,SITE_01_P01_A,SITE_01,P01,810,870,during,zone_b,multimodal_coincidence,"polar,muse,audio,environment",sensor_rule+field_log,Concurrent physiological and EEG change occurred near an audio transient during a documented electrical interval.,probable,Old wiring activity was documented during the interval.,true,True,good,11.0,-24.0,15.7,-27.6,3,0.095,46.9,Retain as an explainable comparison case for model evaluation.
EVT_0002,SITE_01_P01_A,SITE_01,P01,960,1020,during,zone_c,audio_transient,audio,automated_screen,Short audio transient detected without a sustained multi-sensor response.,probable,nan,unknown,False,good,-2.2,0.2,-4.8,-20.4,3,0.132,42.3,Context suggests a conventional or single-modality explanation.
EVT_0003,SITE_01_P01_A,SITE_01,P01,1220,1280,during,zone_d,physiological_shift,polar,automated_screen,Brief heart-rate / HRV change detected without persistent EEG or audio convergence.,probable,Participant movement or posture change is a plausible explanation.,unknown,False,good,7.0,-15.5,1.4,-33.2,0,0.086,39.5,Context suggests a conventional or single-modality explanation.
EVT_0004,SITE_01_P02_A,SITE_01,P02,480,540,during,zone_a,light_change,bodycam,automated_screen,Brief body-camera light-level change detected.,probable,Flashlight movement was visible on body camera.,true,False,good,3.0,18.3,6.6,-31.0,0,0.127,43.2,Context suggests a conventional or single-modality explanation.
EVT_0005,SITE_01_P02_A,SITE_01,P02,640,710,during,zone_b,single_sensor_deviation,muse,automated_screen,Isolated sensor deviation detected without corroboration from other modalities.,probable,Sensor contact adjustment was documented.,unknown,False,acceptable,1.8,-17.4,8.5,-27.6,1,0.21,39.1,Context suggests a conventional or single-modality explanation.
EVT_0006,SITE_01_P04_A,SITE_01,P04,1180,1230,during,zone_c,physiological_shift,polar,automated_screen,Brief heart-rate / HRV change detected without persistent EEG or audio convergence.,probable,Participant movement or posture change is a plausible explanation.,unknown,False,good,8.0,-10.8,9.5,-29.1,1,0.21,39.9,Context suggests a conventional or single-modality explanation.
EVT_0007,SITE_01_P04_A,SITE_01,P04,1340,1420,during,zone_d,multimodal_coincidence,"polar,muse,audio,environment",sensor_rule+field_log,Concurrent physiological and EEG change occurred near an audio transient during a documented electrical interval.,probable,Old wiring activity was documented during the interval.,true,True,good,10.4,2.5,3.7,-20.5,5,0.117,52.7,Retain as an explainable comparison case for model evaluation.
EVT_0008,SITE_01_P05_A,SITE_01,P05,790,860,during,zone_b,light_change,bodycam,automated_screen,Brief body-camera light-level change detected.,probable,Flashlight movement was visible on body camera.,true,False,good,0.3,-30.6,-3.4,-32.6,0,0.197,39.1,Context suggests a conventional or single-modality explanation.
EVT_0009,SITE_01_P06_A,SITE_01,P06,1390,1450,during,zone_d,movement_event,"bodycam,muse_accel",automated_screen,Short movement burst detected in body-camera and accelerometer data.,confirmed,Footstep / investigator handling was visible on body camera.,true,False,good,7.5,8.8,-9.0,-32.4,1,0.447,35.0,Context suggests a conventional or single-modality explanation.
EVT_0010,SITE_01_P07_A,SITE_01,P07,490,530,during,zone_a,protocol_interruption,"field_log,environment",field_log,Session interrupted by a documented protocol deviation.,confirmed,Old wiring and active plumbing documented before the study.,true,True,good,0.1,26.4,-7.5,-28.4,2,0.44,47.8,Exclude this session from primary analysis but retain for audit and robustness testing.
