session_id,site_id,site_name,participant_id,trial,repeat_of_session_id,session_date,start_time_local,planned_duration_minutes,actual_duration_minutes,session_status,primary_analysis_eligible,bodycam_status,muse2_status,polar_status,recording_sync_status,building_type,construction_material,occupancy_status,electricity_available,running_water_available,traffic_level,cellular_signal,temperature_c,humidity_pct,weather_condition,rainfall_mm,wind_kph,ambient_noise_db,known_animals_observed,known_electrical_sources,protocol_deviation,investigator_notes
SITE_01_P01_A,SITE_01,Mercer Historic House,P01,A,,2026-03-02,18:30,30,30,completed,True,complete,complete,complete,synced,historic_house,wood_brick,unoccupied,True,True,moderate,good,18.1,51.2,clear,0.0,9.3,42.2,none_observed,"old_wiring,refrigerator,exterior_transformer",,Old wiring and active plumbing documented before the study. Protocol completed without deviation.
SITE_01_P02_A,SITE_01,Mercer Historic House,P02,A,,2026-03-02,19:10,30,30,completed,True,complete,complete,complete,synced,historic_house,wood_brick,unoccupied,True,True,moderate,good,18.3,51.3,clear,0.0,3.7,39.1,none_observed,"old_wiring,refrigerator,exterior_transformer",,Old wiring and active plumbing documented before the study. Protocol completed without deviation.
SITE_01_P03_A,SITE_01,Mercer Historic House,P03,A,,2026-03-02,19:50,30,30,completed,True,complete,complete,complete,synced,historic_house,wood_brick,unoccupied,True,True,moderate,good,18.3,52.7,clear,0.0,7.6,37.3,none_observed,"old_wiring,refrigerator,exterior_transformer",,Old wiring and active plumbing documented before the study. Protocol completed without deviation.
SITE_01_P04_A,SITE_01,Mercer Historic House,P04,A,,2026-03-02,20:30,30,30,completed,True,complete,complete,complete,synced,historic_house,wood_brick,unoccupied,True,True,moderate,good,17.8,42.8,clear,0.0,8.6,43.2,none_observed,"old_wiring,refrigerator,exterior_transformer",,Old wiring and active plumbing documented before the study. Protocol completed without deviation.
SITE_01_P05_A,SITE_01,Mercer Historic House,P05,A,,2026-03-02,21:10,30,30,completed,True,complete,complete,complete,synced,historic_house,wood_brick,unoccupied,True,True,moderate,good,19.0,43.9,clear,0.0,7.6,43.2,none_observed,"old_wiring,refrigerator,exterior_transformer",,Old wiring and active plumbing documented before the study. Protocol completed without deviation.
SITE_01_P06_A,SITE_01,Mercer Historic House,P06,A,,2026-03-02,21:50,30,30,completed,True,complete,complete,complete,synced,historic_house,wood_brick,unoccupied,True,True,moderate,good,16.8,49.2,clear,0.0,3.2,40.8,none_observed,"old_wiring,refrigerator,exterior_transformer",,Old wiring and active plumbing documented before the study. Protocol completed without deviation.
SITE_01_P07_A,SITE_01,Mercer Historic House,P07,A,,2026-03-02,22:30,30,9,interrupted,False,partial,partial,complete,synced,historic_house,wood_brick,unoccupied,True,True,moderate,good,18.7,44.7,clear,0.0,13.9,42.6,none_observed,"old_wiring,refrigerator,exterior_transformer",street_noise,Old wiring and active plumbing documented before the study. Session interrupted (street noise); repeated as trial B.
SITE_01_P07_B,SITE_01,Mercer Historic House,P07,B,SITE_01_P07_A,2026-03-03,19:00,30,30,completed,True,complete,complete,complete,synced,historic_house,wood_brick,unoccupied,True,True,moderate,good,17.2,47.2,clear,0.0,11.2,39.7,none_observed,"old_wiring,refrigerator,exterior_transformer",,Old wiring and active plumbing documented before the study. Repeat of interrupted session; protocol completed without deviation.
SITE_01_P08_A,SITE_01,Mercer Historic House,P08,A,,2026-03-02,23:10,30,30,completed,True,complete,complete,complete,synced,historic_house,wood_brick,unoccupied,True,True,moderate,good,18.2,46.9,clear,0.0,15.4,40.7,none_observed,"old_wiring,refrigerator,exterior_transformer",,Old wiring and active plumbing documented before the study. Protocol completed without deviation.
SITE_01_P09_A,SITE_01,Mercer Historic House,P09,A,,2026-03-02,23:50,30,30,completed,True,complete,complete,complete,synced,historic_house,wood_brick,unoccupied,True,True,moderate,good,18.5,50.4,clear,0.0,10.4,40.9,none_observed,"old_wiring,refrigerator,exterior_transformer",,Old wiring and active plumbing documented before the study. Protocol completed without deviation.
